epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1008.45,0.45152,0.81046,0.81847,0.76368,0.73911,0.82886,0.71626,0.60051,0.88917,0.81837,9.91348e-05,9.91348e-05,9.91348e-05
85,1019.66,0.46711,0.84371,0.82862,0.79487,0.73181,0.83015,0.72152,0.58654,0.8908,0.81658,9.36304e-05,9.36304e-05,9.36304e-05
86,1031.01,0.48789,0.87033,0.82831,0.79257,0.74338,0.83125,0.71538,0.6127,0.90219,0.82133,8.8126e-05,8.8126e-05,8.8126e-05
87,1042.25,0.50045,0.88321,0.83553,0.78837,0.75721,0.82967,0.71755,0.60821,0.90352,0.82106,8.26216e-05,8.26216e-05,8.26216e-05
88,1053.49,0.47525,0.86399,0.82361,0.81914,0.7407,0.8301,0.72847,0.54945,0.8819,0.81219,7.71172e-05,7.71172e-05,7.71172e-05
89,1064.4,0.44225,0.80952,0.81706,0.76477,0.77051,0.83157,0.73544,0.53206,0.86764,0.80967,7.16128e-05,7.16128e-05,7.16128e-05
90,1075.46,0.47026,0.82558,0.82363,0.75924,0.76146,0.83361,0.74031,0.5305,0.85832,0.80923,6.61084e-05,6.61084e-05,6.61084e-05
91,1085.76,0.40032,0.75841,0.79384,0.72835,0.78712,0.83492,0.73427,0.54285,0.87752,0.81063,6.0604e-05,6.0604e-05,6.0604e-05
92,1095.96,0.40806,0.72877,0.79434,0.72574,0.76118,0.83003,0.73342,0.5253,0.92681,0.80848,5.50996e-05,5.50996e-05,5.50996e-05
93,1106.11,0.39094,0.69721,0.79031,0.74067,0.7349,0.82819,0.73417,0.51198,0.95392,0.80696,4.95952e-05,4.95952e-05,4.95952e-05
94,1116.14,0.38374,0.67191,0.79328,0.74423,0.71689,0.81905,0.72605,0.5064,0.98933,0.80577,4.40908e-05,4.40908e-05,4.40908e-05
95,1126.42,0.39705,0.68145,0.79515,0.7434,0.72375,0.81516,0.71934,0.52357,0.9844,0.80864,3.85864e-05,3.85864e-05,3.85864e-05
96,1136.73,0.38718,0.71287,0.78804,0.76602,0.72691,0.81788,0.71942,0.54259,0.94965,0.81131,3.3082e-05,3.3082e-05,3.3082e-05
97,1146.91,0.36788,0.64665,0.79115,0.76446,0.73214,0.81917,0.71864,0.55104,0.93387,0.81242,2.75776e-05,2.75776e-05,2.75776e-05
98,1157.02,0.37419,0.63977,0.78752,0.79727,0.71695,0.82441,0.72113,0.55448,0.91014,0.81223,2.20732e-05,2.20732e-05,2.20732e-05
99,1167.19,0.3966,0.64491,0.79668,0.73416,0.76565,0.82869,0.72898,0.54357,0.89063,0.80984,1.65688e-05,1.65688e-05,1.65688e-05
100,1177.4,0.37399,0.6267,0.79156,0.71745,0.79976,0.83605,0.73713,0.52991,0.87657,0.80717,1.10644e-05,1.10644e-05,1.10644e-05
